Test Donor,Learning Rate,Batch Size,Number of Neurons,Average of Accuracy,Average of Average Precision,Average of AUC
2,0.01,16,1024,0.30789866289765333,0.38771537219006597,0.5
3,0.01,16,1024,0.4016526356919579,0.5235889102017619,0.5
5,0.01,16,1024,0.28683888028895765,0.40877515479876164,0.5
6,0.01,16,1024,0.2376168001525553,0.48876646570439475,0.5153846153846153
1,1e-05,16,32,0.6864956308610402,0.8510421441743665,0.7937627661876191
2,1e-05,16,32,0.7703479980855805,0.7254554538805542,0.7887196921372541
3,1e-05,16,32,0.6673211494742824,0.7376329090315678,0.7543526737908958
5,1e-05,16,32,0.6770295837633299,0.6780067890139814,0.7627800190703091
6,1e-05,16,32,0.7760098843122298,0.7908375129453762,0.8365847494039899
1,0.001,64,64,0.7212995056909111,0.7761844893711578,0.7876679916486804
2,0.001,64,64,0.757177951272042,0.6669855049564544,0.7786471454966057
3,0.001,64,64,0.7044481741972151,0.6890355797934614,0.7423887693707991
5,0.001,64,64,0.6361143360853114,0.6095429364170881,0.7098303884704545
6,0.001,64,64,0.6379123760488177,0.6518289339465095,0.7279013067449066
1,1e-05,32,32,0.6915881922944617,0.8532176285275557,0.80490802357406
2,1e-05,32,32,0.7222923303570093,0.6865493450618135,0.7551726831299068
3,1e-05,32,32,0.6740391446433647,0.7539786745334036,0.7617378985357268
5,1e-05,32,32,0.6729564413484692,0.6826621750399928,0.7248816725621876
6,1e-05,32,32,0.7642448512585812,0.7523773032553894,0.801893617255732
1,0.1,32,64,0.5312119079134323,0.6634603172730555,0.6169273199221286
2,0.1,32,64,0.5779709023197379,0.39200830148299526,0.5048906789413119
3,0.1,32,64,0.5562277990906508,0.5235889102017619,0.5
5,0.1,32,64,0.5809361025111799,0.4030190756135381,0.48570804195804196
6,0.1,32,64,0.2126168001525553,0.482997234935164,0.5
1,0.01,32,64,0.6689056867979839,0.6309532813880687,0.5905973393900065
2,0.01,32,64,0.5779709023197379,0.38771537219006597,0.5
3,0.01,32,64,0.36733891020176185,0.5235889102017619,0.5
5,0.01,32,64,0.6319777691778465,0.40877515479876164,0.5
6,0.01,32,64,0.5059139016018307,0.519116492022163,0.5524309551208285
1,0.001,64,128,0.7121409061336206,0.6581145990514652,0.6404594419208306
2,0.001,64,128,0.5264976967140784,0.42593664727906444,0.5904224060938117
3,0.001,64,128,0.7797731955100881,0.6450165700972468,0.6103508915187563
5,0.001,64,128,0.6506976694186446,0.5164049351285067,0.6573476817623763
6,0.001,64,128,0.5694293478260869,0.5974753863350372,0.6698517862194047
1,0.0001,8,32,0.7769458746503941,0.8976207783176293,0.8816544054191462
2,0.0001,8,32,0.7726279146288568,0.7777432465231142,0.8305819166271766
3,0.0001,8,32,0.7347461992043194,0.7749035029168364,0.8170111042484403
5,0.0001,8,32,0.7282722738218094,0.7833314154766611,0.7808782728003972
6,0.0001,8,32,0.7604873824052887,0.7909594655841188,0.8246544503544602
1,0.001,16,128,0.662194936136163,0.5823643168317341,0.547089552238806
2,0.001,16,128,0.4624738262963462,0.38771537219006597,0.49420886075949366
3,0.001,16,128,0.44654997868712704,0.5246425500485052,0.504746835443038
5,0.001,16,128,0.5242722308221535,0.40877515479876164,0.5
6,0.001,16,128,0.673252765064836,0.482997234935164,0.49720886075949366
1,0.1,16,64,0.44615438185190176,0.5602848166345105,0.5
2,0.1,16,64,0.5779709023197379,0.38771537219006597,0.5
3,0.1,16,64,0.36733891020176185,0.5235889102017619,0.5
5,0.1,16,64,0.7156121001031992,0.40984290863296857,0.5021551724137931
